Paired,SchoolName,Shape_Leng,Shape_Area
No,Arcola ES,40589.562636900001962,32645198.967199999839067
No,Ashburton ES,56678.607309899998654,91740763.221100002527237
No,Bannockburn ES,70446.208189199998742,100723914.75
No,Barnsley ES,33402.615320099997916,27689700.767499998211861
No,Belmont ES,70061.266593899999862,110737162.099999994039536
No,Beall ES,80731.279961799999001,96991190.236200004816055
No,Brooke Grove ES,31219.125086899999587,35402045.89360000193119
Yes,Bel Pre ES/Strathmore ES,74603.16478599999391,77500576.416500002145767
No,Bells Mill ES,44343.245310500002233,64664122.738099999725819
No,Bethesda ES,44268.458690799998294,57994024.15259999781847
No,Cold Spring ES,20364.409256200000527,22439648.691300000995398
No,Beverly Farms ES,50327.541262500002631,73952084.546200007200241
No,Bradley Hills ES,38863.089498599998478,51366127.554200001060963
No,Broad Acres ES,15383.052061000000322,10104586.46000000089407
No,Brookhaven ES,37219.047059899996384,20076011.416499998420477
No,Flower Hill ES,25822.083715299999312,17453916.259500000625849
No,Brown Station ES,45188.843409200002498,70887283.010000005364418
No,Flower Valley ES,81875.410161399995559,140892095.696000009775162
No,Burning Tree ES,47467.792630299998564,82907698.007200002670288
No,Burnt Mills ES,41840.771590999996988,45990675.545500002801418
No,Burtonsville ES,81460.925813199995901,196190664.76800000667572
No,Candlewood ES,61117.382024799997453,61915951.419900000095367
No,Cannon Road ES,40762.45448999999644,28418568.773800000548363
No,Carderock Springs ES,83261.162511500006076,158440208.601000010967255
No,Carson ES,55789.947080199999618,66379531.798299998044968
No,Cashell ES,41240.401343199999246,52029532.153999999165535
No,Cedar Grove ES,89320.091892299999017,157066365.219999998807907
No,Clarksburg ES,151639.626504000014393,521304161.583000004291534
No,Clearspring ES,78345.144993499998236,126170870.835999995470047
No,College Gardens ES,51816.873562399996445,68824066.203299999237061
No,Clopper Mill ES,32072.162632999999914,25855742.39640000090003
No,Cloverly ES,105553.647500999999465,228765149.352999985218048
No,Daly ES,35961.756029700001818,36019415.197499997913837
No,Farmland ES,37123.097502299999178,44133065.058700002729893
No,Damascus ES,164214.677365000010468,603101258.320000052452087
No,Darnestown ES,128500.225999999995111,458510862.313000023365021
No,Fields Road ES,28749.16423869999926,28562203.193599998950958
No,Diamond ES,49407.449135299997579,47356857.511600002646446
No,Drew ES,63221.166979000001447,75303256.384499996900558
No,Dufief ES,32231.071842800000013,34397203.025700002908707
No,East Silver Spring ES,31736.518329099999391,21069779.737500000745058
No,Fairland ES,75280.717858799995156,77919430.070299997925758
No,Fallsmead ES,62097.695843200002855,69777022.926100000739098
No,Flora M. Singer ES,27560.658453700001701,34650420.764200001955032
No,Forest Knolls ES,34352.91066139999748,41717355.671999998390675
No,Fox Chapel ES,34545.856882699998096,39957385.266999997198582
No,Gaithersburg ES,35652.029763699996693,35496385.333099998533726
No,Galway ES,45525.320085699997435,76508010.158800005912781
No,Garrett Park ES,92651.950682499998948,79307117.590599998831749
No,Georgian Forest ES,31432.908278700000665,29636307.762899998575449
No,Germantown ES,20113.497644499999296,16202639.290200000628829
No,Glen Haven ES,22286.235291400000278,21217285.854299999773502
No,Glenallan ES,44420.598869399997056,65867117.940200001001358
No,Goshen ES,58665.926938399999926,78897124.821400001645088
No,Great Seneca Creek ES,61181.794309099997918,84608249.138099998235703
No,Greencastle ES,51803.210151899998891,54841155.509800001978874
No,Greenwood ES,114027.370026999997208,247494801.150999993085861
No,Maryvale ES,52156.605894400003308,76544892.022799998521805
No,Harmony Hills ES,29397.300419800001691,19027641.887200001627207
No,Highland ES,18483.689001899998402,16295248.954500000923872
No,Highland View ES,19394.115544500000397,16406138.868599999696016
No,Jackson Road ES,58997.91217830000096,56932866.529200002551079
No,Jones Lane ES,44718.576685799998813,48311758.142399996519089
No,Kemp Mill ES,45643.744072399997094,67964688.446899995207787
No,McNair ES,32399.650121999999101,46299914.017899997532368
No,Kensington-Parkwood ES,51406.404847199999494,44987414.527000002563
No,Lake Seneca ES,42913.397979200002737,35812461.969400003552437
No,Lakewood ES,53856.140711799998826,59125610.422600001096725
No,Laytonsville ES,154013.07000199999311,834551096.950999975204468
No,Little Bennett ES,119231.357094000006327,272053482.246999979019165
No,Luxmanor ES,50956.984117400003015,57695966.980700001120567
No,Monocacy ES,195234.225838000013027,1297890899.950000047683716
No,Marshall ES,70439.173012300001574,57169439.594099998474121
No,McAuliffe ES,29275.139591099999961,30259917.803199999034405
No,Meadow Hall ES,34220.253759599996556,34131574.330799996852875
No,Rock Creek Forest ES,23007.811054599998897,19067818.954599998891354
No,Mill Creek Towne ES,40665.484148800002004,40014253.395099997520447
Yes,Montgomery Knolls ES/Pine Crest ES,32775.327324700003373,35482573.663900002837181
Yes,New Hampshire Estates ES/Oak View ES,26597.050948000000062,16338701.160199999809265
No,Oakland Terrace ES,28745.046462800000882,27174823.573600001633167
No,Rockwell ES,51844.679989800002659,63978166.13120000064373
No,Olney ES,86283.905172500002664,79153863.01690000295639
No,Page ES,35150.053212400001939,42037576.236599996685982
No,Poolesville ES,196935.525254999985918,1695655525.170000076293945
No,Potomac ES,152586.220012000005227,485055358.930000007152557
No,Resnik ES,77269.60125490000064,107045274.364999994635582
No,Ride ES,51104.857304600001953,34930323.490500003099442
No,Ritchie Park ES,74272.757023199999821,73399664.268299996852875
No,Rock Creek Valley ES,33281.485060999999405,30213104.375300001353025
No,Strawberry Knoll ES,30373.963746800000081,27667675.528000000864267
No,Rock View ES,33182.549175400003151,46688265.859099999070168
No,Rolling Terrace ES,17209.400676400000521,16542538.191400000825524
No,Summit Hall ES,31709.608843499998329,17468905.036800000816584
Yes,Roscoe R. Nix ES/Cresthaven ES,56620.985352999996394,102939842.204999998211861
Yes,Rosemary Hills ES/Chevy Chase ES,44374.977624799998011,56444311.243500001728535
Yes,Rosemary Hills ES/North Chevy Chase ES,65997.346393300002092,88884983.42059999704361
No,Rosemont ES,81594.99484470000607,85357885.236100003123283
No,Sargent Shriver ES,31980.837014000000636,27851395.630499999970198
No,Sequoyah ES,127156.994516999999178,273655970.175000011920929
No,Seven Locks ES,79298.137877000001026,149725673.113000005483627
No,Sherwood ES,175289.119176000007428,488293416.080999970436096
No,Sligo Creek ES,42177.740821999999753,32244780.355099998414516
No,Somerset ES,33037.573407199997746,38931417.220499999821186
No,South Lake ES,53325.960076299998036,32254928.026000000536442
No,Spark M. Matsunaga ES,68946.230950900004245,111791502.292999997735023
No,Stedwick ES,44932.396833300001163,65096622.908399999141693
No,Stone Mill ES,50599.241749799999525,47506972.395400002598763
No,Stonegate ES,75511.340828900007182,150122372.861000001430511
Yes,Takoma Park ES/Piney Branch ES,37399.396559100001468,50337650.201700001955032
No,Waters Landing ES,39259.606858099999954,45990181.133699998259544
No,Travilah ES,77527.510329500000807,146137994.518999993801117
No,Twinbrook ES,26640.821974900001806,27672624.130399998277426
No,Viers Mill ES,34469.991151800000807,36570848.61150000244379
No,Washington Grove ES,47271.261865200001921,56932413.620300002396107
No,Wheaton Woods ES,26834.609935799999221,17092734.124899998307228
No,Watkins Mill ES,30625.764933800001018,47289324.074000000953674
No,Wayside ES,61629.636342600002536,94871009.262700006365776
No,Weller Road ES,24772.124082599999383,23567099.570300001651049
No,Westbrook ES,39031.84579720000329,33931852.928999997675419
No,Westover ES,39862.310302799996862,54418140.482600003480911
No,Whetstone ES,32247.052231500001653,34434488.73929999768734
No,William B. Gibbs Jr. ES,80813.094920699993963,118308844.988000005483627
No,Wilson Wims ES,57695.180258000000322,51654942.058799996972084
No,Wood Acres ES,46180.319820199998503,70423701.217500001192093
No,Woodfield ES,67209.40110299999651,100103936.667999997735023
No,Woodlin ES,43503.249926399999822,58346713.843800000846386
No,Wyngate ES,35570.520513499999652,53394651.641999997198582
